Item Code,Item Description,Item Alias Name,Item Category,Item Touch Category,Item Group,Item UOM,Item Row,Item Column,Item Rate,Item TaxStructure Code,Kitchen,Size,Font,Cost Price,Short Code,HSN Code
101,Margherita pizza,,Pizza,Pizza,FOOD,,,,650,GST5%,KITCHEN,,,,,
102,Farm house pizza,,Pizza,Pizza,FOOD,,,,745,GST5%,KITCHEN,,,,,
103,pollo BBQ (chicken),,Pizza,Pizza,FOOD,,,,800,GST5%,KITCHEN,,,,,
104,Picanten pizza (chicken salami),,Pizza,Pizza,FOOD,,,,850,GST5%,KITCHEN,,,,,
105,Green california roll,,Sushi,Sushi,FOOD,,,,845,GST5%,KITCHEN,,,,,
106,Vegetable tempura roll,,Sushi,Sushi,FOOD,,,,895,GST5%,KITCHEN,,,,,
107,Shrimp tempura roll,,Sushi,Sushi,FOOD,,,,925,GST5%,KITCHEN,,,,,
108,Garden harmony burger,,Burger,Burger,FOOD,,,,545,GST5%,KITCHEN,,,,,
109,Mushroom & truffle burger,,Burger,Burger,FOOD,,,,695,GST5%,KITCHEN,,,,,
110,Garlic aioli chicken burger,,Burger,Burger,FOOD,,,,645,GST5%,KITCHEN,,,,,
111,Cream cheese truffle edamame,,Dimsum,Dimsum,FOOD,,,,850,GST5%,KITCHEN,,,,,
112,Creamy mushroom & truffle,,Dimsum,Dimsum,FOOD,,,,850,GST5%,KITCHEN,,,,,
113,Crystal veggies,,Dimsum,Dimsum,FOOD,,,,750,GST5%,KITCHEN,,,,,
114,Chicken siu mai,,Dimsum,Dimsum,FOOD,,,,850,GST5%,KITCHEN,,,,,
115,Prawns hargao,,Dimsum,Dimsum,FOOD,,,,859,GST5%,KITCHEN,,,,,
116,Penne alfredo,,Pasta,Pasta,FOOD,,,,625,GST5%,KITCHEN,,,,,
117,Penne arrabiata,,Pasta,Pasta,FOOD,,,,645,GST5%,KITCHEN,,,,,
118,Aglio e olio spaghetti,,Pasta,Pasta,FOOD,,,,595,GST5%,KITCHEN,,,,,
119,Basil pesto spaghetti,,Pasta,Pasta,FOOD,,,,695,GST5%,KITCHEN,,,,,
120,Mexican rice bowl,,Rice Bowl,Rice Bowl,FOOD,,,,800,GST5%,KITCHEN,,,,,
121,Grilled cottage cheese,,Main Course (Veg),Main Course (Veg),FOOD,,,,795,GST5%,KITCHEN,,,,,
122,Hakka noodles,,Noodles,Noodles,FOOD,,,,600,GST5%,KITCHEN,,,,,
123,Fried rice (veg),,Fried Rice,Fried Rice,FOOD,,,,650,GST5%,KITCHEN,,,,,
124,Pad thai noodles,,Noodles,Noodles,FOOD,,,,800,GST5%,KITCHEN,,,,,
125,Green thai curry,,Curry,Curry,FOOD,,,,795,GST5%,KITCHEN,,,,,
